"No","Non"
"Yes","Oui"
"Is Enabled","Activer"
"If disabled data will not be added to PredictionIO","Si Désactivé Magento va utiliser la recommandation par défault"
"PredictionIO Host","Adresse IP de serveur de PredictionIO"
"PredictionIO Post Data Port","Port de serveur de publication de donnée"
"PredictionIO Recommendation Port","Port de serveur de recommandation"
"Similarity Engine Key","Clé de Moteur de Similarité"
"Rate Event","Taux"
"Similarity Product Count","Nombre de Produits similaires"
"Number of products to return from PredictionIO","Nombre de produits à retourner par PredictionIO"
"Black List","Liste Noir"
"Products IDs that you don't want to be displayed in prediction result","IDs des Produits que vous ne voulez pas être affichés dans la résultat de prédiction"
